IIT_INV_TYPE|IIT_ADMIN_UNIT|IIT_START_DATE|STD_SIGN_NO|SIGN_STRRM_NO|SZ|WD|HT|SQ_FT_NO|COLOR|STD_SIGN_TYP|SIGN_DESC|SIGN_STD_GRPH|SHOW|MMS_NO
SIGN|S|24-MAR-2015|R2-1-36-35|R2-1|30x36|30|36|1080|BLK/SIL|REGLTY|SPEED LIMIT 35||Y|
SIGN|S|24-MAR-2015|R2-1-36-40|R2-1|30x36|30|36|1080|BLK/SIL|REGLTY|SPEED LIMIT 40||Y|
SIGN|S|24-MAR-2015|R2-1-36-45|R2-1|30x36|30|36|1080|BLK/SIL|REGLTY|SPEED LIMIT 45||Y|
SIGN|S|24-MAR-2015|R2-1-36-50|R2-1|30x36|30|36|1080|BLK/SIL|REGLTY|SPEED LIMIT 50||Y|
SIGN|S|24-MAR-2015|R2-1-36-55|R2-1|30x36|30|36|1080|BLK/SIL|REGLTY|SPEED LIMIT 55||Y|
SIGN|S|24-MAR-2015|R2-1-48-20|R2-1|36x48|36|48|1728|BLK/SIL|REGLTY|SPEED LIMIT 20||Y|
SIGN|S|24-MAR-2015|R2-1-48-25|R2-1|36x48|36|48|1728|BLK/SIL|REGLTY|SPEED LIMIT 25||Y|
SIGN|S|24-MAR-2015|R2-1-48-30|405637|36x48|36|48|1728|BLK/SIL|REGLTY|SPEED LIMIT 30||Y|5637
SIGN|S|24-MAR-2015|R2-1-48-35|405638|36x48|36|48|1728|BLK/SIL|REGLTY|SPEED LIMIT 35||Y|5638
SIGN|S|24-MAR-2015|R2-1-48-40|405639|36x48|36|48|1728|BLK/SIL|REGLTY|SPEED LIMIT 40||Y|5639
SIGN|S|24-MAR-2015|R2-1-48-45|405817|36x48|36|48|1728|BLK/SIL|REGLTY|SPEED LIMIT 45||Y|5817
SIGN|S|24-MAR-2015|R2-1-48-50|405818|36x48|36|48|1728|BLK/SIL|REGLTY|SPEED LIMIT 50||Y|5818
SIGN|S|24-MAR-2015|R2-1-48-55|R2-1|36x48|36|48|1728|BLK/SIL|REGLTY|SPEED LIMIT 55||Y|
SIGN|S|24-MAR-2015|R2-1-48-60|R2-1|36x48|36|48|1728|BLK/SIL|REGLTY|SPEED LIMIT 60||Y|
SIGN|S|24-MAR-2015|R2-1-48-65|R2-1|36x48|36|48|1728|BLK/SIL|REGLTY|SPEED LIMIT 65||Y|
SIGN|S|24-MAR-2015|R2-1-60-45|R2-1|48x60|48|60|2880|BLK/SIL|REGLTY|SPEED LIMIT 45||Y|
SIGN|S|24-MAR-2015|R2-1-60-50|R2-1|48x60|48|60|2880|BLK/SIL|REGLTY|SPEED LIMIT 50||Y|
SIGN|S|24-MAR-2015|R2-1-60-55|R2-1|48x60|48|60|2880|BLK/SIL|REGLTY|SPEED LIMIT 55||Y|
SIGN|S|24-MAR-2015|R2-1-60-60|405588|48x60|48|60|2880|BLK/SIL|REGLTY|SPEED LIMIT 60||Y|5588
SIGN|S|24-MAR-2015|R2-1-60-65|405816|48x60|48|60|2880|BLK/SIL|REGLTY|SPEED LIMIT 65||Y|5816
SIGN|S|24-MAR-2015|R2-2-24-55|R2-2|24x24|24|24|576|BLK/SIL|REGLTY|TRUCKS 55||Y|
SIGN|S|24-MAR-2015|R2-2-30-55|405432|30x30|30|30|900|BLK/SIL|REGLTY|TRUCKS 55||Y|5432
SIGN|S|24-MAR-2015|R2-2-36-55|405815|36x36|36|36|1296|BLK/SIL|REGLTY|TRUCKS 55||Y|5815
SIGN|S|24-MAR-2015|R2-2-48-50|R2-2|48x48|48|48|2304|BLK/SIL|REGLTY|TRUCKS 50||Y|
SIGN|S|24-MAR-2015|R2-2-48-55|405809|48x48|48|48|2304|BLK/SIL|REGLTY|TRUCKS 55||Y|5809
SIGN|S|24-MAR-2015|R2-2m-30-90|R2-2m|30x30|30|30|900|BLK/SIL|REGLTY|TRUCKS 90 KM/H||Y|
SIGN|S|24-MAR-2015|R2-5-36|R2-5|30x36|30|36|1080|BLK/SIL|REGLTY|REDUCED SPEED AHEAD||Y|
SIGN|S|24-MAR-2015|R2-5-48|R2-5|36x48|36|48|1728|BLK/SIL|REGLTY|REDUCED SPEED AHEAD||Y|
SIGN|S|24-MAR-2015|R2-5-60|R2-5|48x60|48|60|2880|BLK/SIL|REGLTY|REDUCED SPEED AHEAD||Y|
SIGN|S|24-MAR-2015|R2-5c-36|405421|30x36|30|36|1080|BLK/SIL|REGLTY|SPEED ZONE AHEAD||Y|5421
SIGN|S|24-MAR-2015|R2-5c-48|405430|36x48|36|48|1728|BLK/SIL|REGLTY|SPEED ZONE AHEAD||Y|5430
SIGN|S|24-MAR-2015|R2-5c-60|405422|48x60|48|60|2880|BLK/SIL|REGLTY|SPEED ZONE AHEAD||Y|5422
SIGN|S|24-MAR-2015|R2-6-36|R2-6|36x36|36|36|1296|BLK/SIL|REGLTY|FINES HIGHER||Y|
SIGN|S|24-MAR-2015|R2-6P-18|9900|24x18|24|18|432|BLK/SIL|REGLTY|FINES HIGHER||Y|
SIGN|S|24-MAR-2015|R2-6P-24|9900|36x24|36|24|864|BLK/SIL|REGLTY|FINES HIGHER||Y|
SIGN|S|24-MAR-2015|R2-6P-36|9900|48x36|48|36|1728|BLK/SIL|REGLTY|FINES HIGHER||Y|
SIGN|S|24-MAR-2015|R3-1-24|405427|24x24|24|24|576|BLK/RED/SIL|REGLTY|RIGHT TURN PROHIBITION (SYMBOL)||Y|5427
SIGN|S|24-MAR-2015|R3-1-30|405428|30x30|30|30|900|BLK/RED/SIL|REGLTY|RIGHT TURN PROHIBITION (SYMBOL)||Y|5428
SIGN|S|24-MAR-2015|R3-1-36|405429|36x36|36|36|1296|BLK/RED/SIL|REGLTY|RIGHT TURN PROHIBITION (SYMBOL)||Y|5429
SIGN|S|24-MAR-2015|R3-17-24|R3-17|30x24|30|24|720|BLK/SIL|REGLTY|BIKE LANE W/ SYMBOL||Y|
SIGN|S|24-MAR-2015|R3-1L-24|405423|24x24|24|24|576|BLK/RED/SIL|REGLTY|LEFT TURN PROHIBITION (SYMBOL)||Y|5423
SIGN|S|24-MAR-2015|R3-1L-30|405424|30x30|30|30|900|BLK/RED/SIL|REGLTY|LEFT TURN PROHIBITION (SYMBOL)||Y|5424
SIGN|S|24-MAR-2015|R3-1L-36|405425|36x36|36|36|1296|BLK/RED/SIL|REGLTY|LEFT TURN PROHIBITION (SYMBOL)||Y|5425
SIGN|S|24-MAR-2015|R3-1R-24|405427|24x24|24|24|576|BLK/RED/SIL|REGLTY|RIGHT TURN PROHIBITION (SYMBOL)||Y|5427
SIGN|S|24-MAR-2015|R3-1R-30|405428|30x30|30|30|900|BLK/RED/SIL|REGLTY|RIGHT TURN PROHIBITION (SYMBOL)||Y|5428
SIGN|S|24-MAR-2015|R3-1R-36|405429|36x36|36|36|1296|BLK/RED/SIL|REGLTY|RIGHT TURN PROHIBITION (SYMBOL)||Y|5429
SIGN|S|24-MAR-2015|R3-2-24|405423|24x24|24|24|576|BLK/RED/SIL|REGLTY|LEFT TURN PROHIBITION (SYMBOL)||Y|5423
SIGN|S|24-MAR-2015|R3-2-30|405424|30x30|30|30|900|BLK/RED/SIL|REGLTY|LEFT TURN PROHIBITION (SYMBOL)||Y|5424
SIGN|S|24-MAR-2015|R3-2-36|405425|36x36|36|36|1296|BLK/RED/SIL|REGLTY|LEFT TURN PROHIBITION (SYMBOL)||Y|5425
SIGN|S|24-MAR-2015|R3-3-30|R3-3|30x30|30|30|900|BLK/SIL|REGLTY|NO TURNS||Y|
SIGN|S|24-MAR-2015|R3-3-36|R3-3|36x36|36|36|1296|BLK/SIL|REGLTY|NO TURNS||Y|
SIGN|S|24-MAR-2015|R3-4-24|405440|24x24|24|24|576|BLK/RED/SIL|REGLTY|U-TURN PROHIBITED (SYMBOL)||Y|5440
SIGN|S|24-MAR-2015|R3-4-30|405439|30x30|30|30|900|BLK/RED/SIL|REGLTY|U-TURN PROHIBITED (SYMBOL)||Y|5439
SIGN|S|24-MAR-2015|R3-5a-36|R3-5a|30x36|30|36|1080|BLK/SIL|REGLTY|ONLY W/ THROUGH ARROW||Y|
SIGN|S|24-MAR-2015|R3-5L-30|405443|24x30|24|30|720|BLK/SIL|REGLTY|ONLY W/ LEFT CURVE ARROW||Y|5443
SIGN|S|24-MAR-2015|R3-5L-36|405445|30x36|30|36|1080|BLK/SIL|REGLTY|ONLY W/ LEFT CURVE ARROW||Y|5445
SIGN|S|24-MAR-2015|R3-5R-30|405444|24x30|24|30|720|BLK/SIL|REGLTY|ONLY W/ RIGHT CURVE ARROW||Y|5444
SIGN|S|24-MAR-2015|R3-5R-36|405446|30x36|30|36|1080|BLK/SIL|REGLTY|ONLY W/ RIGHT CURVE ARROW||Y|5446
SIGN|S|24-MAR-2015|R3-6L-36|R3-6|30x36|30|36|1080|BLK/SIL|REGLTY|ONLY W/ THROUGH LEFT ARROW||Y|
SIGN|S|24-MAR-2015|R3-6R-36|R3-6|30x36|30|36|1080|BLK/SIL|REGLTY|ONLY W/ THROUGH RIGHT ARROW||Y|
SIGN|S|24-MAR-2015|R3-7L-30|405447|30x30|30|30|900|BLK/SIL|REGLTY|LEFT LANE MUST TURN LEFT||Y|5447
SIGN|S|24-MAR-2015|R3-7R-30|405448|30x30|30|30|900|BLK/SIL|REGLTY|RIGHT LANE MUST TURN RIGHT||Y|5448
SIGN|S|24-MAR-2015|R3-8-30|R3-8|30x30|30|30|900|BLK/SIL|REGLTY|ONLY W/ LEFT AND THROUGH LEFT ARROWS||Y|
SIGN|S|24-MAR-2015|R3-8-36|R3-8|36x36|36|36|1296|BLK/SIL|REGLTY|ONLY W/ LEFT AND THROUGH LEFT ARROWS||Y|
SIGN|S|24-MAR-2015|R3-8a-36|R3-8a|60x36|60|36|2160|BLK/SIL|REGLTY|ONLY W/ LEFT AND THROUGH LEFT AND RIGHT ARROWS||Y|
SIGN|S|24-MAR-2015|R3-8b|9900|48x30|48|30|1440|BLK/SIL|REGLTY|ADVANCE INETERSECTION LANE CONTROL||Y|
SIGN|S|24-MAR-2015|R3-8b-36|R3-8b|48x30|60|36|2160|BLK/SIL|REGLTY|ONLY W/ LEFT AND THROUGH AND RIGHT ARROWS||Y|
SIGN|S|24-MAR-2015|R3-9b-36|405459|24x36|24|36|864|BLK/SIL|REGLTY|CENTER LANE (W/ LEFT TURN ARROWS) ONLY||Y|5459
SIGN|S|24-MAR-2015|R3-9b-48|405449|36x48|36|48|1728|BLK/SIL|REGLTY|CENTER LANE (W/ LEFT TURN ARROWS) ONLY||Y|5449
SIGN|S|24-MAR-2015|R4-1-48|405452|36x48|36|48|1728|BLK/SIL|REGLTY|DO NOT PASS||Y|5452
SIGN|S|24-MAR-2015|R4-2-48|405466|36x48|36|48|1728|BLK/SIL|REGLTY|PASS WITH CARE||Y|5466
SIGN|S|24-MAR-2015|R4-3-48|405453|36x48|36|48|1728|BLK/SIL|REGLTY|SLOWER TRAFFIC KEEP RIGHT||Y|5453
SIGN|S|24-MAR-2015|R4-3-60|405454|48x60|48|60|2880|BLK/SIL|REGLTY|SLOWER TRAFFIC KEEP RIGHT||Y|5454
SIGN|S|24-MAR-2015|R4-4-30|R4-4|36x30|36|30|1080|BLK/SIL|REGLTY|BEGIN RIGHT TURN LANE YIELD TO BIKES W/ ARROW||Y|
SIGN|S|24-MAR-2015|R4-7-30|405460|24x30|24|30|720|BLK/SIL|REGLTY|KEEP RIGHT (SYMBOL)||Y|5460
SIGN|S|24-MAR-2015|R4-7-48|405461|36x48|36|48|1728|BLK/SIL|REGLTY|KEEP RIGHT (SYMBOL)||Y|5461
